iso3,name,Time,enrolment_primary_female,enrolment_lower-secondary_female,enrolment_upper-secondary_female,enrolment_upper-secondary_male,enrolment_primary_male,enrolment_lower-secondary_male,primary_female,primary_male,lower-secondary_female,lower-secondary_male,upper-secondary_female,upper-secondary_male,region,academic_break,closed,open,partially_closed,tv,radio,internet
NER,Niger,2017.0,1261370.0,273237.0,56498.0,87590.0,1506935.0,369257.0,1821655.0,1882447.0,973601.0,1007993.0,619158.0,642383.0,West and Central Africa,65.0,83.0,87.0,0.0,False,True,False
NGA,Nigeria,2016.0,12155241.0,2745941.0,2058117.0,2417192.0,13435940.0,3093546.0,14791478.0,15413289.0,6362846.0,6604487.0,5698640.0,5891582.0,West and Central Africa,56.0,91.0,58.0,30.0,True,True,True
NIU,Niue,2019.0,115.0,58.0,44.0,36.0,102.0,61.0,115.0,102.0,58.0,61.0,44.0,36.0,East Asia and Pacific,45.0,6.0,184.0,0.0,False,False,False
MKD,North Macedonia,2018.0,52974.0,40634.0,34126.0,37818.0,56844.0,43237.0,54018.0,57841.0,45972.0,48799.0,48539.0,51482.0,Eastern Europe and Central Asia,56.0,102.0,0.0,77.0,True,False,True
NOR,Norway,2018.0,217914.0,94917.0,119261.0,134588.0,229441.0,100564.0,217914.0,229441.0,94917.0,100564.0,119261.0,134588.0,Western Europe,54.0,22.0,149.0,10.0,True,False,True
OMN,Oman,2019.0,145370.0,166910.0,45250.0,47495.0,144675.0,176923.0,145370.0,144675.0,166910.0,176923.0,45250.0,47495.0,Middle East and North Africa,143.0,41.0,3.0,48.0,True,False,True
PAK,Pakistan,2019.0,10464369.0,3465087.0,2706971.0,3459480.0,13093355.0,4226007.0,11905385.0,12798191.0,6686733.0,7204093.0,8496276.0,9237534.0,South Asia,56.0,112.0,42.0,25.0,True,True,True
PLW,Palau,2014.0,749.0,236.0,558.0,559.0,890.0,251.0,749.0,890.0,236.0,251.0,558.0,559.0,East Asia and Pacific,56.0,40.0,139.0,0.0,False,False,False
PSE,"Palestine, State of",2019.0,242899.0,272235.0,132017.0,108140.0,254103.0,274796.0,248621.0,259918.0,274583.0,285935.0,151128.0,156522.0,Middle East and North Africa,36.0,83.0,0.0,116.0,True,True,True
PAN,Panama,2017.0,202660.0,99161.0,63770.0,58209.0,216192.0,101773.0,217086.0,226679.0,104685.0,108890.0,103458.0,107087.0,Latin America and Caribbean,23.0,211.0,1.0,0.0,True,True,True
PNG,Papua New Guinea,2016.0,588562.0,117392.0,88927.0,148620.0,686523.0,152339.0,588562.0,686523.0,178386.0,190099.0,339219.0,360336.0,East Asia and Pacific,35.0,30.0,170.0,0.0,False,False,False
